movie,link,budget,gross_ww,runtime,rating,genre
The Dark Knight,/title/tt0468569/?ref_=sr_t_1,"['185,000,000']","['1,029,266,']",2h 32m,9.0,"['Action', 'Crime', 'Drama']"
35 Shots of Rum,/title/tt1100048/?ref_=sr_t_1,"['3,599,757']",[],1h 40m,7.1,['Drama']
The Three Burials of Melquiades Estrada,/title/tt0419294/?ref_=sr_t_1,"['15,000,000']","['12,045,362']",2h 1m,7.3,"['Adventure', 'Crime', 'Drama']"
The Blind Swordsman: Zatoichi,/title/tt0363226/?ref_=sr_t_1,,,,,
Dancer in the Dark,/title/tt0168629/?ref_=sr_t_1,"['12,800,000']","['40,061,153']",2h 20m,7.9,"['Crime', 'Drama', 'Musical']"
Tey,/title/tt2186933/?ref_=sr_t_1,,,,,
Sweet Sixteen,/title/tt0083146/?ref_=sr_t_1,,,,,
Ezra,/title/tt20315818/?ref_=sr_t_1,,,,,
Almost Famous,/title/tt0181875/?ref_=sr_t_1,"['60,000,000']","['47,386,287']",2h 2m,7.9,"['Adventure', 'Comedy', 'Drama']"
Memories of Murder,/title/tt0353969/?ref_=sr_t_1,"['2,800,000']","['1,204,841']",2h 12m,8.1,"['Crime', 'Drama', 'Mystery']"
Tropical Malady,/title/tt0381668/?ref_=sr_t_1,,,,,
Hard to Be a God,/title/tt2328813/?ref_=sr_t_1,"['7,000,000']","['1,299,035']",2h 57m,6.6,"['Drama', 'Sci-Fi']"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,/title/tt0443453/?ref_=sr_t_1,"['18,000,000']","['262,552,893']",1h 24m,7.4,['Comedy']
Let the Right One In,/title/tt1139797/?ref_=sr_t_1,"['4,000,000']","['11,227,336']",1h 54m,7.8,"['Drama', 'Fantasy', 'Horror']"
World of Tomorrow,/title/tt0346156/?ref_=sr_t_1,"['70,000,000']","['57,947,036']",1h 46m,6.1,"['Action', 'Adventure', 'Mystery']"
Ex Machina,/title/tt0470752/?ref_=sr_t_1,"['15,000,000']","['37,394,629']",1h 48m,7.7,"['Drama', 'Sci-Fi', 'Thriller']"
The Avengers,/title/tt0848228/?ref_=sr_t_1,"['220,000,000']","['1,520,538,']",2h 23m,8.0,"['Action', 'Sci-Fi']"
Her,/title/tt1798709/?ref_=sr_t_1,"['23,000,000']","['48,517,427']",2h 6m,8.0,"['Drama', 'Romance', 'Sci-Fi']"
Kill Bill: Vol. 2,/title/tt0378194/?ref_=sr_t_1,"['30,000,000']","['154,117,157']",2h 17m,8.0,"['Action', 'Crime', 'Thriller']"
Manchester by the Sea,/title/tt4034228/?ref_=sr_t_1,"['9,000,000']","['78,988,148']",2h 17m,7.8,['Drama']
The Host,/title/tt1517260/?ref_=sr_t_1,"['40,000,000']","['63,365,859']",2h 5m,5.8,"['Action', 'Adventure', 'Drama']"
District 9,/title/tt1136608/?ref_=sr_t_1,"['30,000,000']","['210,888,950']",1h 52m,7.9,"['Action', 'Sci-Fi', 'Thriller']"
Love & Friendship,/title/tt3068194/?ref_=sr_t_1,"['3,000,000']","['21,401,949']",1h 30m,6.4,"['Comedy', 'Drama', 'Romance']"
Evolution of a Filipino Family,/title/tt0424062/?ref_=sr_t_1,,,,,
Pulse,/title/tt0286751/?ref_=sr_t_1,,,,,
Cave of Forgotten Dreams,/title/tt1664894/?ref_=sr_t_1,,,,,
Heaven's Story,/title/tt15212880/?ref_=sr_t_1,,,,,
"Norte, the End of History",/title/tt2852432/?ref_=sr_t_1,,,,,
"Crouching Tiger, Hidden Dragon",/title/tt0190332/?ref_=sr_t_1,"['17,000,000']","['213,977,285']",2h,7.9,"['Action', 'Adventure', 'Drama']"
The Pianist,/title/tt0253474/?ref_=sr_t_1,"['35,000,000']","['120,072,577']",2h 30m,8.5,"['Biography', 'Drama', 'Music']"
Lincoln,/title/tt1189340/?ref_=sr_t_1,"['40,000,000']","['86,752,352']",1h 58m,7.3,"['Crime', 'Drama', 'Mystery']"
Life of Pi,/title/tt0454876/?ref_=sr_t_1,"['120,000,000']","['609,016,565']",2h 7m,7.9,"['Adventure', 'Drama', 'Fantasy']"
Mystic River,/title/tt0327056/?ref_=sr_t_1,"['25,000,000']","['156,595,191']",2h 18m,7.9,"['Crime', 'Drama', 'Mystery']"
